SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,November-1-2024,Single Family Residential,2116 N 77th Ave,Elmwood Park,IL,60707,400000,3,1.5,Elmwood Park,1900,,1941,,211,,Sold,,,https://www.redfin.com/IL/Elmwood-Park/2116-N-77th-Ave-60707/home/13524169,MRED as Distributed by MLS Grid,12183410,N,Y,41.9185047,-87.8186538
PAST SALE,January-31-2025,Single Family Residential,8709 W Sunset Rd,Niles,IL,60714,1000000,4,3.5,Niles,3700,9670,2018,,270,,Sold,,,https://www.redfin.com/IL/Niles/8709-W-Sunset-Rd-60714/home/13658160,MRED as Distributed by MLS Grid,12260977,N,Y,42.033036091,-87.84355223
PAST SALE,December-6-2024,Condo/Co-op,4929 N East River Rd Unit 1A,Norridge,IL,60706,160000,1,1.0,Norridge,750,,1968,,213,195,Sold,,,https://www.redfin.com/IL/Norridge/4929-N-East-River-Rd-60706/unit-1A/home/12590745,MRED as Distributed by MLS Grid,12210040,N,Y,41.9694176,-87.8460979
PAST SALE,,Single Family Residential,599 Stonehaven Ave,Elk Grove Village,IL,60007,340000,4,2.0,,1791,7700,1969,,190,,,,,https://www.redfin.com/IL/Elk-Grove-Village/599-Stonehaven-Ave-60007/home/13688532,,,N,Y,42.0129464,-88.0062836
PAST SALE,May-3-2024,Condo/Co-op,9346 Landings Ln #302,Des Plaines,IL,60016,249000,2,2.0,Landings,1500,,1981,,166,384,Sold,,,https://www.redfin.com/IL/Des-Plaines/9346-Landings-Ln-60016/unit-302/home/13667758,MRED as Distributed by MLS Grid,11998033,N,Y,42.0408791,-87.857791
PAST SALE,,Condo/Co-op,750 Pearson St Unit 1-508,Des Plaines,IL,60016,347500,2,2.0,,1493,,2001,,233,,,,,https://www.redfin.com/IL/Des-Plaines/750-Pearson-St-60016/unit-1-508/home/12707568,,,N,Y,42.0397879,-87.8868965
PAST SALE,,Single Family Residential,6140 Ruby St,Rosemont,IL,60018,775000,4,2.5,,2585,6124,1988,,300,,,,,https://www.redfin.com/IL/Rosemont/6140-Ruby-St-60018/home/13561843,,,N,Y,41.9914203,-87.8714117
PAST SALE,December-26-2024,Condo/Co-op,750 Pearson St #508,Des Plaines,IL,60016,347500,2,2.0,Des Plaines,1500,,2001,,232,509,Sold,,,https://www.redfin.com/IL/Des-Plaines/750-Pearson-St-60016/unit-508/home/183790745,MRED as Distributed by MLS Grid,12218148,N,Y,42.0398658,-87.8871017
PAST SALE,March-1-2024,Single Family Residential,1673 E Algonquin Rd,Des Plaines,IL,60016,382000,3,2.0,Des Plaines,1000,7753,1972,,382,,Sold,,,https://www.redfin.com/IL/Des-Plaines/1673-E-Algonquin-Rd-60016/home/13659391,MRED as Distributed by MLS Grid,11955559,N,Y,42.0314773,-87.8827473
