Location ID	 Start Date Time	 Max Date Time  	 Max Level	 Duration	 Leq 	 SEL  	 Classification
19	 0:00           	 0:00           	66.4	11	62.6	73	 
14	 0:00           	 0:01           	64.6	147	53.7	75.3	 
27	 0:00           	 0:00           	64.9	19	64.3	77.1	 
15	 0:00           	 0:01           	66.3	9	63.7	73.3	 
1	 0:00           	 0:01           	54.1	12	53.6	64.5	 
19	 0:01           	 0:01           	66.4	17	64.2	76.4	 
44	 0:01           	 0:01           	72.8	29	67.7	82.4	 Aircraft
1	 0:01           	 0:01           	54	14	53.6	65.1	 
27	 0:01           	 0:01           	66.1	13	65	76.2	 
29	 0:01           	 0:01           	75.5	29	70	84.7	 Aircraft
21	 0:01           	 0:01           	64.5	22	59.3	72.7	 
1	 0:01           	 0:02           	59.6	115	56.3	76.9	 Aircraft
20	 0:02           	 0:02           	59.7	11	59	69.5	 Aircraft
27	 0:02           	 0:02           	66.1	32	65	79.9	 
31	 0:02           	 0:02           	79.8	26	72.9	87.1	 Aircraft
44	 0:02           	 0:03           	69.1	9	65.3	75	 
14	 0:03           	 0:03           	53	64	51.2	69.2	 
27	 0:03           	 0:04           	65.3	15	64.7	76.5	 
1	 0:03           	 0:04           	55.1	10	53.9	63.7	 
19	 0:04           	 0:04           	79.3	30	69.9	84.7	 
1	 0:04           	 0:04           	54.7	24	53.5	67.3	 
14	 0:04           	 0:04           	51.2	21	50.5	63.7	 
19	 0:04           	 0:05           	65.1	10	62.2	72	 
27	 0:05           	 0:06           	67	83	65	84.2	 
19	 0:05           	 0:05           	65.4	22	61.9	75.4	 
14	 0:05           	 0:05           	53.2	45	51.3	67.9	 
14	 0:06           	 0:07           	62.5	54	54.3	71.6	 
44	 0:06           	 0:06           	72.1	31	67.5	82.4	 Aircraft
30	 0:06           	 0:06           	70.9	11	68.9	79.1	 
27	 0:06           	 0:06           	65.9	21	64.6	77.8	 
29	 0:07           	 0:07           	79.3	30	72.7	87.5	 Aircraft
19	 0:07           	 0:07           	63.9	19	60.9	73.7	 
14	 0:07           	 0:07           	52.1	33	50.7	65.9	 
31	 0:07           	 0:07           	81.9	28	74.5	89	 Aircraft
27	 0:07           	 0:08           	68.7	94	65.5	85.2	 
14	 0:08           	 0:08           	53.6	92	51.1	70.7	 
44	 0:08           	 0:08           	74.3	32	68.8	83.8	 Aircraft
19	 0:08           	 0:08           	65.1	25	61.6	75.7	 
31	 0:08           	 0:08           	67.2	16	64	76.1	 
29	 0:08           	 0:09           	79.8	31	73	87.9	 Aircraft
44	 0:09           	 0:09           	68.6	10	64.3	74.1	 
31	 0:09           	 0:09           	83.3	29	75.3	89.9	 Aircraft
19	 0:09           	 0:09           	70.6	27	64.7	79	 
14	 0:09           	 0:09           	51.5	48	50.4	67.2	 
27	 0:09           	 0:09           	66.1	13	65	76.3	 
44	 0:09           	 0:10           	81	63	72.5	90.4	 Aircraft
29	 0:10           	 0:10           	85.6	41	78.1	94.2	 Aircraft
31	 0:10           	 0:10           	60.7	10	59.5	69.5	 
27	 0:10           	 0:10           	66.6	27	65.2	79.5	 
14	 0:10           	 0:10           	52.3	17	51.1	63.5	 
31	 0:10           	 0:11           	89.6	35	80.7	96.2	 Aircraft
44	 0:11           	 0:11           	68.8	10	63.1	72.9	 
1	 0:11           	 0:11           	56.2	198	54.3	77.3	 
3	 0:11           	 0:11           	68.2	10	66.9	76.8	 Aircraft
14	 0:12           	 0:13           	72.9	119	58.7	79.4	 
10	 0:13           	 0:13           	59.7	50	58.2	75.2	 
27	 0:13           	 0:13           	66.5	15	65.2	77	 
14	 0:14           	 0:14           	51.9	19	51	63.8	 
27	 0:14           	 0:14           	68.3	25	65.8	79.7	 
44	 0:14           	 0:14           	72.1	32	67.3	82.4	 Aircraft
19	 0:14           	 0:14           	73.4	14	68.1	79.4	 
10	 0:14           	 0:14           	59.4	18	58.5	71	 
14	 0:14           	 0:15           	51.7	49	50.8	67.7	 
29	 0:14           	 0:15           	76.7	32	70.6	85.6	 Aircraft
19	 0:14           	 0:14           	66.9	12	62.7	73.5	 
27	 0:15           	 0:15           	66.7	40	65.1	81.1	 
31	 0:15           	 0:15           	81.1	30	73.3	88	 Aircraft
10	 0:15           	 0:16           	59.9	57	58	75.6	 
27	 0:15           	 0:16           	81	60	73.4	91.2	 Aircraft
44	 0:15           	 0:16           	74.1	36	68.4	83.9	 Aircraft
8	 0:15           	 0:16           	60.6	27	59.7	74	 Aircraft
14	 0:16           	 0:16           	51.5	21	50.5	63.8	 
25	 0:16           	 0:16           	77.4	37	72	87.7	 Aircraft
31	 0:16           	 0:16           	61.2	14	60.2	71.7	 
29	 0:16           	 0:16           	77.8	32	72.3	87.3	 Aircraft
41	 0:16           	 0:16           	72.9	33	69.1	84.3	 Aircraft
10	 0:16           	 0:17           	59.6	53	57.9	75.1	 
33	 0:16           	 0:16           	65	31	63	77.8	 Aircraft
22	 0:16           	 0:16           	64	21	61.8	75	 Aircraft
14	 0:16           	 0:16           	50.6	16	50.2	62.3	 
31	 0:17           	 0:17           	83.7	29	76	90.5	 Aircraft
5	 0:17           	 0:17           	63.9	15	62.9	74.7	 Aircraft
14	 0:17           	 0:18           	81.4	87	68.4	87.8	 
43	 0:17           	 0:17           	69.5	22	66	79.4	 Aircraft
10	 0:17           	 0:17           	59.4	33	57.6	72.8	 
27	 0:17           	 0:17           	67	28	65.9	80.4	 
27	 0:18           	 0:18           	66.5	24	65.3	79.1	 
35	 0:18           	 0:19           	80.1	18	74.2	86.7	 
44	 0:19           	 0:19           	73.9	35	68.8	84.2	 Aircraft
33	 0:19           	 0:19           	65.7	9	64.1	73.7	 
27	 0:19           	 0:19           	66	24	64.9	78.7	 
29	 0:19           	 0:19           	77.8	32	72	87	 Aircraft
14	 0:19           	 0:20           	53.7	33	51.3	66.5	 
19	 0:19           	 0:19           	73.3	24	66.1	79.8	 
20	 0:19           	 0:20           	63.5	8	60.8	70	 
31	 0:20           	 0:20           	82.7	33	75.2	90.4	 Aircraft
44	 0:20           	 0:20           	64.7	23	61	74.6	 
14	 0:20           	 0:20           	54	28	51.9	66.3	 
14	 0:21           	 0:21           	52.5	26	51.4	65.6	 
31	 0:21           	 0:21           	65.4	14	62.9	74.3	 
10	 0:21           	 0:21           	64.6	11	60.9	71.4	 
16	 0:21           	 0:21           	74.8	9	71.9	81.5	 
27	 0:21           	 0:21           	67.6	40	65.7	81.7	 
19	 0:21           	 0:21           	68.8	15	64.9	76.8	 
14	 0:21           	 0:21           	51.6	36	50.7	66.2	 
14	 0:22           	 0:22           	51	18	50.2	62.7	 
27	 0:22           	 0:23           	65.9	20	65	77.9	 
14	 0:23           	 0:23           	52.1	12	51.2	62	 
19	 0:23           	 0:23           	78.3	21	71.4	84.6	 
27	 0:23           	 0:23           	66.5	22	65	78.5	 
14	 0:23           	 0:24           	52.8	94	51	70.7	 
23	 0:23           	 0:23           	63.5	11	61	71.4	 
10	 0:23           	 0:23           	58.8	73	57.8	76.4	 
23	 0:23           	 0:24           	61.3	14	60.3	71.6	 
27	 0:24           	 0:24           	65.3	11	64.6	75.1	 
11	 0:24           	 0:24           	64.1	12	61.5	72.4	 
23	 0:24           	 0:24           	59.7	17	59.3	71.5	 
8	 0:24           	 0:24           	67.1	11	64	74.3	 
23	 0:25           	 0:25           	61.3	10	59.8	69.6	 
10	 0:25           	 0:25           	58.1	10	57.5	67.4	 
14	 0:25           	 0:25           	52	25	50.8	64.7	 
14	 0:25           	 0:26           	51.3	31	50.5	65.4	 
23	 0:26           	 0:26           	71.2	18	64.7	77.2	 
19	 0:26           	 0:26           	65.9	9	63.5	73.2	 
14	 0:26           	 0:26           	51.1	12	50.6	61.3	 
14	 0:27           	 0:27           	53.6	24	51.2	65	 
10	 0:28           	 0:28           	59.4	69	58.1	76.5	 
1	 0:28           	 0:28           	54.7	25	53.9	67.9	 
44	 0:28           	 0:29           	74	30	68.4	83.2	 Aircraft
14	 0:28           	 0:29           	54.4	53	51.1	68.3	 
1	 0:29           	 0:29           	53.8	9	53.4	63.2	 
29	 0:29           	 0:29           	77.5	30	71.5	86.3	 Aircraft
1	 0:29           	 0:31           	58.1	135	54.7	76	 
10	 0:29           	 0:29           	59.1	21	58.2	71.4	 
31	 0:29           	 0:30           	83.3	27	75	89.4	 Aircraft
