Site, Location
   1, "805 W. Victoria Lane, Arlington Heights"
   2, "1700 Bloomingdale Avenue, Melrose Park"
   3, "96 N. Mason Street, Bensenville"
  31, "333 N. Franzen Street, Bensenville"
   4, "9879 Ivanhoe Avenue, Schiller Park"
  28, "4934  Harold Avenue, Schiller Park"
   5, "6314 W. Rosedale Avenue, Chicago"
  11, "7416 W. Roscoe Street, Chicago"
  39, "4145 W. Wilson Avenue, Chicago"
  40, "2736 W. Ardmore Avenue, Chicago"
  42, "7361 W. Farwell Avenue, Chicago"
  46, "5801 N. Central Park Avenue, Chicago"
  12, "343 E. Elk Grove Boulevard, Elk Grove Village"
  13, "1601 Nicholas Avenue, Elk Grove Village"
  14, "351 Briarwood Lane, Elk Grove Village"
  34, "1240 Somerset Lane, Elk Grove Village"
  10, "3506 Owl Drive, Rolling Meadows"
   7, "1410 Dennis Place, Des Plaines"
   8, "2605 Maple Street, Des Plaines"
  15, "10145 Minneapolis Avenue, Franklin Park"
  16, "10601 Seymour Avenue, Franklin Park"
  17, "7240 Argyle Street, Harwood Heights"
  44, "350 E. Irving Park Road, Itasca"
  19, "3850 Division Street, Stone Park"
  20, "1803 Lavergne Drive, Mount Prospect"
  21, "1111 S Linneman Rd, Mount Prospect"
  37, "1835 Wood Ln, Mt Prospect, IL 60056, USA"
  45, "7990 W Keeney St, Niles, IL 60714, USA"
  18, "7515 Cullom Ave, Norridge, IL 60706, USA"
  22, "5005 Plainfield Avenue, Norridge"
  23, "31 W. King Arthur Court, Northlake"
  35, "459 Geneva Avenue, Northlake"
  24, "1100 Parkside Drive, Park Ridge"
  25, "1427 Granville Avenue, Park Ridge"
  26, "1421 Garden Street, Park Ridge"
  33, "720A S. Prospect Avenue, Park Ridge"
  27, "6010 Ruby Street, Rosemont"
  29, "427 Grove Avenue, Wood Dale"
  30, "399 Oak Meadows Drive, Wood Dale"
  32, "744 Edgewood Avenue, Wood Dale"
