SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1280 White St,Des Plaines,IL,60018,425000,4,2.0,Des Plaines,2385,4704,1934,2,178,,Active,March-23-2025 02:00 PM,March-23-2025 04:00 PM,https://www.redfin.com/IL/Des-Plaines/1280-White-St-60018/home/13659660,MRED as Distributed by MLS Grid,12312210,N,Y,42.0301167,-87.8847041
MLS Listing,,Single Family Residential,2436 West St,River Grove,IL,60171,355000,3,2.0,River Grove,1721,,1951,3,206,,Active,,,https://www.redfin.com/IL/River-Grove/2436-West-St-60171/home/13532293,MRED as Distributed by MLS Grid,12309055,N,Y,41.9237403,-87.850507
MLS Listing,,Condo/Co-op,5214 N Delphia Ave #107,Chicago,IL,60656,197000,2,1.5,CHI - O'Hare,1000,,1972,3,197,367,Active,,,https://www.redfin.com/IL/Chicago/5214-N-Delphia-Ave-60656/unit-107/home/13560794,MRED as Distributed by MLS Grid,12309579,N,Y,41.9742043,-87.8419083
MLS Listing,,Single Family Residential,1316 S Cumberland Ave,Park Ridge,IL,60068,539000,3,2.0,Park Ridge,2444,13503,1955,5,221,,Active,March-16-2025 12:00 PM,March-16-2025 02:00 PM,https://www.redfin.com/IL/Park-Ridge/1316-S-Cumberland-Ave-60068/home/13563645,MRED as Distributed by MLS Grid,12298007,N,Y,41.994381,-87.8368822
MLS Listing,,Condo/Co-op,7539 W Fullerton Ave #101,Elmwood Park,IL,60707,369000,3,2.0,Elmwood Park,1800,,2015,16,205,427,Active,,,https://www.redfin.com/IL/Elmwood-Park/7539-W-Fullerton-Ave-60707/unit-101/home/17465409,MRED as Distributed by MLS Grid,12297240,N,Y,41.9231607,-87.8155563
Redfin Data,,Condo/Co-op,960 Beau Dr #111,Des Plaines,IL,60016,244000,2,2.0,Des Plaines,1100,,1963,2,222,412,Pre On-Market,,,https://www.redfin.com/IL/Des-Plaines/960-Beau-Dr-60016/unit-111/home/12668792,Coming Soon,104741,N,Y,42.0340502,-87.9374712
Redfin Data,,Condo/Co-op,7814 W Belmont Ave Unit GE,Chicago,IL,60634,149900,2,1.0,Chicago,700,,1965,6,214,190,Pre On-Market,,,https://www.redfin.com/IL/Chicago/7814-W-Belmont-Ave-60634/unit-GE/home/183796828,Coming Soon,104613,N,Y,41.9380828,-87.8221606
Redfin Data,,Single Family Residential,4300 Wesley Ter,Schiller Park,IL,60176,499900,6,3.0,Schiller Park,1300,5959,1997,17,385,,Pre On-Market,,,https://www.redfin.com/IL/Schiller-Park/4300-Wesley-Ter-60176/home/13550966,Coming Soon,104327,N,Y,41.95715,-87.8647722
MLS Listing,,Single Family Residential,114 Parkchester Rd,Elk Grove Village,IL,60007,394900,3,2.0,Centex,1591,,1966,1,248,,Active,,,https://www.redfin.com/IL/Elk-Grove-Village/114-Parkchester-Rd-60007/home/13685181,MRED as Distributed by MLS Grid,12313095,N,Y,41.9961008,-88.0055217
MLS Listing,,Condo/Co-op,4925 N Harlem Ave #3,Chicago,IL,60656,175000,1,1.0,CHI - Norwood Park,,,1964,1,,260,Active,,,https://www.redfin.com/IL/Chicago/4925-N-Harlem-Ave-60656/unit-3/home/12662298,MRED as Distributed by MLS Grid,12313199,N,Y,41.970933,-87.8068156
MLS Listing,,Condo/Co-op,3151 Paris Ave #107,River Grove,IL,60171,190000,1,1.0,River Grove,,,,1,,288,Active,,,https://www.redfin.com/IL/River-Grove/3151-Paris-Ave-60171/unit-107/home/13536577,MRED as Distributed by MLS Grid,12313202,N,Y,41.937327,-87.829596
MLS Listing,,Single Family Residential,3109 N Newland Ave,Chicago,IL,60634,293500,5,3.0,CHI - Montclare,1397,4114,1924,1,210,,Active,,,https://www.redfin.com/IL/Chicago/3109-N-Newland-Ave-60634/home/13435746,MRED as Distributed by MLS Grid,12313173,N,Y,41.9366318,-87.7991173
MLS Listing,,Multi-Family (2-4 Unit),2314 N 73rd Ct,Elmwood Park,IL,60707,400000,4,2.0,Elmwood Park,,3920,1926,1,,,Active,,,https://www.redfin.com/IL/Elmwood-Park/2314-N-73rd-Ct-60707/home/13523276,MRED as Distributed by MLS Grid,12313115,N,Y,41.9222642,-87.8101554
MLS Listing,,Multi-Family (2-4 Unit),8250 W Forest Peserve Dr,Chicago,IL,60634,320000,4,2.0,CHI - Dunning,,3750,1927,1,,,Active,,,https://www.redfin.com/IL/Chicago/8250-W-Forest-Preserve-Ave-60634/home/13545159,MRED as Distributed by MLS Grid,12313058,N,Y,41.9417136,-87.8332057
MLS Listing,,Condo/Co-op,600 Thames Pkwy Unit 2E,Park Ridge,IL,60068,270000,2,2.0,Park Ridge,1350,,1971,1,200,646,Active,,,https://www.redfin.com/IL/Park-Ridge/600-Thames-Pkwy-60068/unit-2E/home/13641048,MRED as Distributed by MLS Grid,12312168,N,Y,42.005303,-87.8575223
MLS Listing,,Single Family Residential,429 N Elmwood Ave,Wood Dale,IL,60191,399000,3,2.0,Wood Dale,1644,7500,1966,1,243,,Active,March-16-2025 01:00 PM,March-16-2025 04:00 PM,https://www.redfin.com/IL/Wood-Dale/429-N-Elmwood-Ave-60191/home/18171750,MRED as Distributed by MLS Grid,12310729,N,Y,41.9681292,-87.9757084
MLS Listing,,Vacant Land,150 Pine Ln,Wood Dale,IL,60191,95000,,,Wood Dale,,6500,,2,,,Active,,,https://www.redfin.com/IL/Wood-Dale/150-Pine-Ln-60191/home/21741575,MRED as Distributed by MLS Grid,12311612,N,Y,41.958755,-87.963958
