OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME
9E,4800,CLT,LGA,1733,1930
9E,4801,CVG,DTW,1747,1851
9E,4802,DSM,MSP,1600,1717
9E,4803,CVG,DTW,1351,1459
9E,4804,GSP,LGA,1553,1751
9E,4805,PIT,JFK,1843,2038
9E,4807,RDU,LGA,1745,1920
9E,4808,CHS,DTW,720,914
9E,4809,CHS,JFK,1749,1947
9E,4839,CVG,MSP,1628,1726
9E,4841,MSP,CVG,1255,1540
9E,4850,ATL,CAE,2057,2158
9E,4858,DTW,CHS,1619,1818
9E,4888,OAJ,ATL,531,702
9E,4892,ATL,OAJ,2107,2226
9E,4901,LGA,TUL,1833,2040
9E,4902,LGA,LIT,1740,1938
9E,4903,LGA,MEM,843,1024
9E,4904,LGA,DSM,1722,1915
9E,4905,LGA,STL,1250,1432
9E,4905,STL,LGA,1532,1900
9E,4908,TUL,LGA,817,1215
9E,4910,ATL,DHN,2048,2052
9E,4911,IAD,MSP,1825,2009
9E,4912,DHN,ATL,618,827
9E,4913,CLT,JFK,1323,1521
9E,4914,JFK,IND,1821,2022
9E,4916,MSP,IAD,658,1034
9E,4917,LGA,MEM,2053,2228
9E,4920,CHO,ATL,1150,1334
9E,4921,ATL,HSV,1059,1055
9E,4921,HSV,ATL,1140,1335
9E,4922,LGA,STL,945,1134
9E,4922,STL,LGA,1248,1613
9E,4924,LGA,MKE,830,942
9E,4924,MKE,LGA,1046,1354
9E,4925,LGA,CHA,2018,2223
9E,4926,LGA,STL,1850,2022
9E,4927,GTR,ATL,550,800
9E,4928,LGA,STL,1627,1801
9E,4928,STL,LGA,1849,2216
9E,4930,EWR,RDU,1902,2102
9E,4932,IND,JFK,647,849
9E,4933,IND,LGA,1503,1658
9E,4933,LGA,IND,1139,1352
9E,4934,MSP,CWA,1943,2044
9E,4936,BHM,LGA,1114,1420
9E,4936,LGA,BHM,843,1010
9E,4937,MLI,ATL,603,856
9E,4938,LGA,BHM,1906,2043
9E,4939,STL,LGA,935,1250
9E,4940,MLU,ATL,555,828
9E,4942,BHM,LGA,1756,2114
9E,4942,LGA,BHM,1531,1704
9E,4946,ATL,HPN,722,937
9E,4946,HPN,ATL,1015,1236
9E,4948,DSM,LGA,1227,1603
9E,4950,ATL,MLI,1929,2024
9E,4951,MEM,LGA,600,930
9E,4952,IND,LGA,1806,2003
9E,4952,LGA,IND,1520,1721
9E,4953,ATL,GTR,1337,1343
9E,4953,GTR,ATL,1425,1641
9E,4954,TYS,DTW,723,855
9E,4956,LGA,RDU,2000,2146
9E,4957,ATL,HPN,1201,1418
9E,4957,HPN,ATL,1459,1715
9E,4958,ATL,MLI,1526,1616
9E,4958,MLI,ATL,1703,1948
9E,4960,LIT,LGA,1135,1541
9E,4961,BUF,JFK,1842,2018
9E,4964,LGA,MKE,1430,1545
9E,4964,MKE,LGA,1657,1958
9E,4965,LGA,PWM,2150,2302
9E,4967,DSM,DTW,1215,1453
9E,4968,LGA,JAX,830,1052
9E,4970,XNA,ATL,1245,1526
9E,4974,LGA,CLE,1949,2122
9E,4976,IND,JFK,1248,1440
9E,4976,JFK,IND,951,1203
9E,4977,BHM,LGA,721,1039
9E,4978,ORF,LGA,1728,1919
9E,4980,ATW,DTW,1216,1424
9E,4980,DTW,ATW,956,1015
9E,4982,CWA,MSP,1428,1520
9E,4982,MSP,CWA,1258,1358
9E,4983,LGA,TYS,845,1100
9E,4983,TYS,LGA,1414,1614
9E,4984,IND,JFK,1728,1931
9E,4984,JFK,IND,1423,1639
9E,4985,JFK,CVG,1019,1220
9E,4987,SGF,ATL,1124,1405
9E,4991,AEX,ATL,1253,1526
9E,4991,ATL,AEX,1106,1141
9E,4992,BUF,LGA,1928,2041
9E,4994,LGA,GSP,936,1145
9E,4995,CHA,LGA,943,1139
9E,4996,LGA,GSP,2032,2231
9E,4997,LGA,CVG,1852,2059
9E,4999,LGA,CVG,1653,1851
9E,5003,LGA,TYS,1826,2024
9E,5004,LGA,GSP,1430,1631
9E,5005,ILM,ATL,1653,1834
9E,5006,RDU,DCA,556,703
9E,5009,RDU,JFK,1108,1234
9E,5010,BGR,LGA,1601,1730
9E,5010,LGA,BGR,1346,1509
9E,5011,DTW,MEM,832,922
9E,5012,JFK,CVG,1438,1629
9E,5014,BTV,LGA,1734,1850
9E,5014,LGA,BTV,1521,1637
9E,5015,CHS,JFK,1159,1416
9E,5015,JFK,CHS,851,1120
9E,5016,CVG,LGA,950,1137
9E,5016,LGA,CVG,654,854
9E,5018,JFK,CLE,1003,1155
9E,5020,ATL,XNA,1116,1204
9E,5021,ILM,LGA,1749,1924
9E,5023,JFK,CVG,1749,1954
9E,5024,CLE,LGA,1913,2047
9E,5025,LGA,AVL,845,1044
9E,5027,DTW,TYS,1614,1733
9E,5028,JFK,RDU,1427,1605
9E,5030,LGA,CVG,1319,1518
9E,5032,SAV,JFK,657,856
9E,5033,PIT,DTW,1657,1759
9E,5034,DTW,PIT,1701,1752
9E,5037,LGA,CLT,1931,2127
